"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"rest","rest, ro, hvile","rest, overblijfsel, rommel, afval","levätä","reposent, reposez, reposons, se, reposer, débris","Stütze, Rest, Ruhe, rest, ausruhen","aso ... mengaso","giacere, sè, riposarsi, sosta fermata","amari, kyuushi, nakayasumi, yasumi, kyuuyou, ikoi","requiescere, acquiescere","hvile","descanso, descansar","descansar, sosegar","-","ro, vila, rast"
"rice","ris","rijst","riisi","riz, scion","Reis","beras","riso","raisu, beikoku, gokoku","oryza","ris","arroz","arroz","mpunga, mchele","ris"
"right","ret, til højre, rigtig","rechter-, vandehands","oikeanpuolinen, oikeus, oikea","droit, à droite, à droite, vrai","rechts, rechts, gerade, gleich, richtig","betul, benar","esatto, a destra, destro, retto","zen, ontou, iikagen, kan, seitou, seigi, choudo","dexter","riktig, til høyre","direita","recto, derecha, justicia, derechos, correcto","a kuume, sahihi","riklig, rättighet, befogenhet, rät, höger, rätt"
"ring","ringe","wal, beugel, ring","rengas, soida","cerne, ring, anneau, tinter","Klang, läuten, läuten, Ring, Ring, klingeln","-","circolo, sonare il campanello, anello, campanello","enjin, ringu, wa","anulus","ring","anel","anillo","-","ring, klinga, klang"
"river","flod","rivier, stroom","joki","fleuve, riviere, rivière","Fluß","-","fiume, fluviale","ookawa, taiga, kawa, kawa","flumen","elv, flod","rio","flujo, río","mto","å, flod, älv"
"road","vej","weg, baan, route","tie","chemin","Landstraße, Weg, straße, straße, Autostraße","-","contrada, strada di campagna, cammino","ro-do, michi, gairo, ourai, douro, machi","via","vei","estrada","rua","barbara, njia","väg"
"rock","klippe","balanceren, doen schommelen","tuutia, kallio, keinuttaa","bercer, balancer, rupestre, rupestre, rocher, roc","Fels, Felsen","-","dondolare, masso, roccia","yurasu, yusaburu, yusuburu, iwa, rokku, ganseki","petra","stein","rocha","pe a, risco","-","vagga, berg, gunga"
"roof","tag","kap, dak, overkapping","katto","toit","Dach","atap","tetto","yane, ru-fu","-","tak","telhado","techado, tejado","-","tak"
"room","rum, værelse","bestek, wereldruim, speling, ruimte","huone","chambre, astro, espace","Gelaß, Zimmer, Raum, Raum","kamar","camera, spazio","yutori, kutsurogi, ru-mu, yoyuu, kuuseki, heya, ma","-","værelse, rom","quarto","habitación, espacio, habitacion","chumba","rum, utrymme, plats"
"root","rod","aanslaan, wortel schieten","-","enraciner, enracinez, enracinons, enracinent, rave","Wurzel, Stamm/Haupt, Grund.., Wurzel, Fuß","akar","radice","tsukene, kongen, ne, kontei, hongen, ru-to, konpon","radix","rot","raiz","raiz, raíz","mzizi","rot"
"rope","reb, snor","lijntje, koord, snoer, koorde, lijn","köysi","funiculaire, corde","Seil, Tau, Seil","tali, tampar","gòmena, cavo","sakujou, hosobiki, zairu, saku, tsuna, nawa, ro-pu","ceruchus","tau, reip","corda","cuerda, soga","uzi","lina, rep, tågvirke"
"round","om, rund","ronde","ympärillä, pyöreä","cyclo, ronde, arrondissent, arrondis, arrondir","Runde, rund, ringsherum, runden, rund, Runde","-","rotondo, arrotondare","marui, marui, raundo","circa","reip","redondo","rotundo, ronda, redondo, alrededor, alrededor","-","om, omkring, varv, kring, rund, rond"
"route","vej","reisplan, route, tracé, baanvlak","tie","parcours, chemin, acheminement","senden, steuern, Richtung, leiten","-","direzione, cammino, strada, dirigere, itinerario","toorimichi, rosen, endou, shinro, keiro, michisuji","via","vei","estrada, rota","trayecto, ruta, regentar, camino, impuestos","njia, barbara","-"
"row","ro","roeien","rivi, soutaa","tintamarre, canoter, ramer, rangée","rudern, Zeile, Reihe, Reihe, Zeichenzeile, Krach","baris","canottaggio, riga, fila","ikkou, kawa, gyou, ro-, retsu, narabi","vicis","-","fila, fileira, remar","ringla, línea, turno, remar, bronca","-","rad, räcka, slagsmål, rodd"
"run","flugt, løbe, tilløb","aanrijden, voorrijden","toimia, juosta","courent, courons, passés, courir, courez, piste","Programmstart, laufen, starten, Lauf, RUN/lauf","-","esercitare, circolare, affiuenza, fuga, correre","ran, kouro","currere","løpe","funcionamento, funcionar","transcurso, corrida, carrera, gestionar, caminar","-","löpning, rinna, ränna, gå, löpa, springa"
"sack","afskedige, taske","ontzetten, ontslaan, royeren","säkki","ficher, résilier","plündern, Sack","sak, tas, karung","licenziare, buttare fuori, sacco","hyou, fukuro, sakku","coleus, lura","sekk, veske","-","bolso, despedir, saco","mfuko, gunia","påse, säck"
"safety","sikkerhed","veiligheid, zekerheid","-","sécurité, sûreté","Sicherheit, Sicherheitsfaktor","keamanan","sicurezza","anpi, anzensei, bunan, anki, buji","salus","sikkerhet","segurança","seguridad","-","säkerhet"
"salary","gage, løn","loon, bezoldiging, gage, salaris","palkka","appointements, salaire, traitement","Gehalt, Vergütung, Gehalt, Besoldung","salaris, gaji","stipendio","sarari-, kyuuryou, hou, shinsui, houroku, houkyuu","æs","-","salário","sueldo, salario","mshahara","lön"
"salt","salt","zouten","suola","sel","Salz","garam","sale","shio, enbun, en","-","salt","sal","-","chumvi","salt"
"sand","sand","zand","hiekka","sableuxse, sable","Sand","pasir","sabbia","sabure, sando, suna","arena","sand","areia","-","-","sand"
"school","skole","leerschool, school","koulu","école","Schule, Schule, Lehranstalt","-","scuola","bunka, kantori-suku-ru, suku-ru, mure, gakkou, ha","-","skole, skole","escola","escuela, cole","shule, chuo","skola"
"scream","skrige","gil, schreeuw, krijs","huutaa","jacasser","schreien, Aufschrei {m}","-","gridare","sakebigoe, himei, sakebi, zekkyou, kiai, kyoukan","boare, clamare, clangere","skrike","grito","clamar","-","skrika, skrik, rop"
"sea","hav","zee","meri","mer, marin","Meer, See","-","navale, mare","watatsumi, umi, unabara","æquor, salum, mare, pontus","hav","mar","mar","bahari","hav"
"second","anden, sekund","tweede","sekunti, toinen","second, deuxième, seconde","zweiten, zweite, zweite, zweiter, zweites","-","secondo","niban, kaizoe, shunkan, daini","secundus","andre","em segundo","segundo","a pili","sekund, andra"
"security","sikkerhed, kaution","pand, borgstelling, onderpand","-","sûreté, sécurité, gage","Sicherheit, Bürgschaft","keamanan","sicurezza","hoshou, antai, kyouko, hikiate, sekyuriti-, hoshou","salus","sikkerhet","segurança","seguridad, recaudo, garantía","-","hypotek, säkerhet, trygghet, borgen"
"see","træffe, møde, besøge, se","ontmoeten, aantreffen","huolehtia, tavata, nähdä, käydä vieraissa","voyez, vois, s'occuper, vision, visiter, voyons","sehen, sehen/siehe, sehen, zusehen, anzeigen","kunjungi, mengunjungi, lihat","vedere, visitare","-","videre","se, besøke, møte","ver, veja","visitar, encontrar","-","inse, träffa, se, skåda"
"send","sende","doen toekomen, sturen, opsturen","lähettää","envoyons, envoyent, envoyer, envoient, envoyez","abschicken, schicken, schicke, befördern","kirim","mando, mandare","sendo, haken","mittere","sende","enviar, emita, mandar","envie, enviar","-","skicka, sända"
"sentence","sætning, dømme","frase, zin, volzin","lause","condamner, répression, phrase","Empfindungsvermögen, Satz, Meinung, Satz, Meinung","kalimat","punizione, condannare, frase","kei, senkoku, bunshou, kou, bun, hanketsu, ku","condemnare","-","sentença","punicion, frase, condenar","-","sats, döma, dom, mening"
"separate","særskilt, dele","afgezonderd, afzonderlijk","eri, jakaa","particulier, découdre, désaccoupler, disperser","scheiden, abgesondert","khusus, bagi ... membagi","separato, separato, separare","katsu, hanasu, bekko, bekko","abiungere, abrumpere","-","separado, dividir","arredrar, separado, especial, separar, prescindir","-","åtskild, skild, särskild, avsöndra, skilja"
"September","september","september, herfstmaand","syyskuu","septembre","September","September","settembre","kugatsu","-","september","Setembro","septiembre","Septemba","september"
"serious","vigtig, alvorlig","belangrijk, ernstig, voornaam, erg","tärkeä, vakava","grave, considérable, sérieux, séreux","ernst, seriös, ernst","penting","pesante, serio, grave","omoomoshii, hidoi, shiriasu, omoi, majime, gen","-","-","sério, categorizado","grave, importante, pesado, serio","kubwa","rejäl, seriös, allvarlig"
"serpent","slange","slang","-","serpent","Schlange","-","serpente","hebi","anguis, serpens, vipera, hydrus","orm","serpente","serpiente","nyoka","orm"
"servant","knægt, tjener","dienstmeisje, dienares, meid","-","serviteur","Diener","babu, pelayan, jongos","domèstica, famulo","kerai, tou, houkounin, dou, dorei, shiyounin","anculus, ancula","hushjelp","criada, empregado","criada, criado, servidor, sirviente","mtumishi","tjänare, betjänt"
"seven","syv","zeven","seitsemän","sept, cribler","sieben","tujuh","sette","sebun, nanatsu, shichi","septem","sju","sete","siete, cribar","saba","sju"
"seventeen","sytten","zeventien","seitsemäntoista","dix-sept, dix sept","siebzehn","-","diciassette, diciasette","juunana, juushichi, sevunti-n","septendecim","sytten","dezessete, dazassete","diecisiete","kumi na saba","sjuttonde"
"seventy","halvfjers","zeventig","seitsemänkymmentä","septante","siebzig","-","settanta","shichijuu, nanajuu","septuaginta","sytti","setenta","setenta","sabini","sjutio"
"sex","køn","sexe, sekse, geslacht, kunne","sukupuoli","sexe","Geschlecht","-","sesso","sei, seibetsu, seiteki, bouji","sexus","kjønn","sexo, sex","sexo","-","kön"
"shack","lade, hytte","schuur, keet, barak, loods","mökki","hutte, chaumière, cabane","Hütte","-","capanna","karigoya","casa, canaba","hytte","cabana","choza, cobertizo, cabana","kibanda","-"
"shadow","skygge","schaduwen","varjo","ombre","Schatten, beschatte, Schatten","-","ombrosità, ombra","kumori, kage, shadou, bikou, kage, shado-, anei","umbra","skygge","sombra","sombra, sombrc","-","skugga"
"share","aktie, dele, del, andel","actie, aandeel","jakaa, osa, osake","partageons, partager, dividende, partagez, partie","anteil, Anteil {m}","bagian, bagi ... membagi","partecipazione, spartire, parte","shea, kabu, kyouyuu, wakemae, wakemae, haitou, bun","pars","del","dividir, parte","ración, parte, dividir, compartir, lote","sehemu, kipande","lott, insats, anpart, aktie, dela, andel, del"
"sharp","skarp","bijtend, fel, guur, doordringend","terävä","acéré, poivré, précisément, aigu, nerveux, rude","schaftem","-","nitido, acuto, stridulo, elevato","surudoi, setsuzentaru, togatta, sha-pu, hyoujin","acutus, acer","-","afiado","aprisa, chillon, elevada, acre, afilado, sostenido","kali","skärva, skarp, vass, amper"
"sheep","får","schaap","pässi","gobeur","Schafe, Schaf","domba","pecora","muton, hitsuji","ovis","får","ovelha, carneiros","oveja, borrego","kondoo","får"
"sheet","blad, lagen","blad, vel","lehti","feuille, drap de lit, drap","Bettuch, Blatt, Blatt","-","lenzuolo, falda, foglia","shikifu, shi-to, shi-tsu","folium","laken, blad","folha, lençol","sábana, lámina, libra, hoja, sabana","jani","lakan"
"shop","butik","winkel, zaak","myymälä","magasin, boutique","Laden, Laden, Geschäft, einkaufen","toko","impresa","shouho, tenpo, shouten, mise, ho, baiten, tentou","-","forretning, butikk","loja","tienda, quehacer, ir de compras","duka","bod, butik"
"shore","bred, kyst","kust, boord, oever, wal, kant","ranta","riverain, parages, bord, rive, borde","Küste, Gestade, Küste","-","sponda, costa","rikujou, kishi, riku, migiwa, nagisa, enkai, engan","acta, ora, litus","-","margem, costa","orilla, costa, ribera","pwani","strand, kust"
"short","kort","kort","-","court","kurz, kurze","pendek","breve","chikai, hikui, sho-to, sokkenai, mijikai","brevis","kort","curto","corto","fupi","kortvarig, kort"
"shoulder","skulder","schouder","hartia","épaule, scapulaire","Schulter, Schulter {f}, Achsel {f}","bahu","spalla","kata, shoruda-, kenbu","-","skulder","ombro","hombro","-","axel, skuldra, bog"
"sign","underskrive, bevis, tegn","voorbode, voorteken, teken","merkki","signent, signez, placard, caractériser, signe","Vorzeichen, Wert, unterschreiben, Symbol, Zeichen","tanda, bukti, menandatangani","affisso, scudo, firmare, simbolo","aizu, zenchou, choukou, hyoushiki, ato, zenpyou","-","skilt, signere","sinal, prova, aceno, subscrever","signo, alquila, se a, seña, firmar, señal","-","vink, tecken, signera, teckna, underteckna, skylt"
"silver","sølv","zilveren","hopea","argent","Silber, silbern, Silber","-","argènteo, argento","shippou, gin, shiruba-","argentum, argenteus","sølv, sølv","prata","plata","fedha","silver, försilvra"
"since","til, på, forbi","sinds, sedert, vanaf","koska, lähtien","car, parce que, depuis, dès","seit, da ja, weil, seit, seitdem","-","da, da allora, perchè","irai, yori, kara, izenni, izen","ab, a, abs","fordi","desde","desde, desdeque","kwa sababu","eftersom, emedan, sedan"
"sing","synge","zingen, bezingen","laulaa","chanter, chantent, chantons, zinzinuler, chantez","singen","nyanyi","cantare","saezuru","canere","synge","cante, cantar","cantar","-","sjunga"
"sister","søster","zuster, zus","-","soeur","Schwester","-","sorella","shisuta-","soror","søster","irmã","hermana","dada","syster"
"six","seks","zes","kuusi","zéro, six","sechs","enam","sei","muttsu, roku, mu, mutsu","sex","seks","seis","seis","sita","sex"
"sixteen","sejsten","zestien","kuusitoista","seize","sechzehn, sechszehn","-","sedici","juuroku, nihachi","sedecim","seksten","dazasseis, dezesseis","dieciséis, dieciseis","kumi na sita","sexton"
"sixth","sjette","zesde","kuudes","sixième","sechste, sechste, sechster, der Sechste","-","sesto, sesta","-","sextus","sjette","sexto","sexto","a sita","sjätte"
"sixty","tres","zestig","kuusikymmentä","soixante","sechzig","-","sessanta","-","sexaginta","seksti","sessenta","sesenta","sitini","sextio"
"skin","skind, hud","dierevel, vel, huid, pels, vacht","iho, talja","peau, peaud, épiderme, fourrure","Haut, Haut, Fell","kulit","epidèrmide, epidermide","sukin, gaihi, jouhi, hada, hyouhi, kegawa, kawa","cutis, pellis","hud","pele","piel, cascara","-","skinn, flå, hud"
"sleep","søvn","slapen, maffen","-","pioncer, dormez, dormir, sommeil, dormons, dorment","Schlaf, Schlaf, schlafen","-","dormire, sonno, dormicchiare","nemuri, suri-pu, suimin","somnus","sove, søvn, sove","dormir, sono","dormitar, sue o, sueño, dormir","usingizi","sova, sömn"
"slender","slank","sprietig, schraal, mager, dun, luchtig","-","fluet","schmächtig, schmächtig, gertenschlank, schlank","tipis, kurus","esile, snello, snello","surenda-, kyasha, sunnari, yowayowashii, hosoi","-","tynn","delgado","esbelto","embamba","smärt, gänglig, späd, slank, tunn, spenslig, smal"
"slow","langsom","langzaam","-","décélérent, lent, décélérons, décélérer, décélérez","langsam, langsam, träge, bedächtig","lambat","fiacco, guardingo, lungo","fukappatsu, suro-, motamota, yuuchou, yurui, osoi","tardus","langsom","lento","lento, desaplicado, sentado","-","sakta, trög, långsam"
"small","lille","min, klein, luttel, gering, karig","-","petit","gering, klein","kecil","piccolo, minuscolo","komakai, tezema, semai, chiisai, puchi","-","liten","pequeno","parvulo, pequeño","dogo","lilla, liten"
"smell","lugte, lugt, stinke","stinken, vies ruiken","haistaa","sentir, odorat, pifer, flairer","riechen, riechen, Geruch, dufte","-","profumo, odorato, odoro","nioi, nioi, kaori","odor","lukte","cheiro","apestar, oler","-","os, lukta, lukt, osa, dofta"
"smoke","røg, ryge","smoken, roken","savuta","fumons, griller, fumer, fument, fumée, fumez","Rauch, Rauchen, Rauch","asap","fumo, fumare","kemuri","-","røyk","fumo","fumar, humo","moshi","ryka, röka, rök"
"smooth","flad, glat","gelijk, vlak, effen","sileä, tasainen","plat, uni, lisse","glätten, weiche, glatt","-","levigare, netto","sumu-su, sumu-zu, taira","-","flat","liso","suave, alisar, raso, pulimentar, liso, plano","laini","slät, glatt, jämn"
"snake","slange","slang","-","guivre, serpent","Schlange","-","serpente","sune-ku, hebi","hydrus, vipera, anguis, serpens","orm","serpente","sierpe, serpiente","nyoka","orm, snok"
"snow","sne","sneeuwen","lumi","neigeux, neige","schneien, Schnee, Schnee","-","nevicare, neve","yuki, kousetsu, suno-, tenka, rikka","nix","sne","neve","nevar, nieve","-","snöa, snö"
"so","altså","ergo, dus, ook weer, toch","siis, siten","tellement, également, donc, voilà pourquoi, ainsi","so, also","begitu, begini","orbene, cosi, cosiffatto","dakara, sou, yoshi, konnani, korehodo, anna, deha","itaque","-","tão, tais, tal, assim","así, así, asi, conque","-","så"
"soap","sæbe","zeep","saippua","savon","Seife, Seife, abseifen","sabun","sapone","shabon, sekken, so-pu","sapo, lomentum","såpe","sabão","jabon, jabón","sabuni","tvål"
"soft","sød, blød","zoet, zacht, liefelijk","makea, pehmeä","moelleux, alcoolsans, mou, doux","weich, weich, sanft, sanft","halus, empuk, manis","placido, soffice, dolce","ubuge, nekonadegoe, gunyagunya, yawarakai","lenis, suavis, dulcis","bløt, søt","macio","tierno, dulce, blando, placido","laini, tamu","mjuk, len, veklig, mild, blid, vek"
"soldier","soldat","soldaat","-","soldat, bidasse","Soldat","-","soldato","senshi, buben, heitai, gunsotsu, gunjin, heishi","miles","soldat","soldado","soldado","askari","soldat, knekt, krigare"
"sole","fodsål, alene, tunge","enkel, bloot, louter","yksin","seul, semelle, plante, sole","einzig, Sohle","sendiri","solo, suola, sogliola","teitetsu, soko, tada, tandoku, yuiitsu, tandokuno","solus, planta","tunge, alene","planta, linguado, único","solo, lenguado, único, suela","-","sjötunga, sula, enda"
"some","lidt","een beetje, enigszins, een weinig","muutama, jonkin verran, joku","un peu, un, quelques, quelqu'un","einige, manche, einige","agak","qualche, alquanti, qualcosa, parecchio","jakkan, yaku, ikuraka, ikurakano, ichibu","aliquis","-","alguns, alguém","algunos, unas, alguien, poco, bastante, algunas","-","någon, somliga, några"
"son","søn","zoon","poika","fils","Sohn","-","figlio, figliuolo","sochi, sai, segare, sotsu","puer, filius, natus","sønn","filho","hijo","mwana","-"
"source","kilde","bron, wel, kwel, welput","kaivo","source","Quell, Ursprung, Quelle","mata-air","sorgente, origine, fonte","dedoko, yurai, dedokoro, minamoto, konpon, gensen","-","kilde","fonte, nascente","venera","-","ursprung, upprinnelse, källa"
"south","syd, sydlig","zuidelijk","etelä","midi, sud","Süden, Süd, Süden","selatan","ostro, sud","roppou, nan, nanpou","antarcticus","syd","sul","sur","kusini","söder, sydlig"
"speedy","hurtig","spoedig","nopea","rapide","schnell","jepat, lekas","-","supi-di, supi-di-","-","hurtig","rápido","rápido","epesi","snabb, snar, skyndsam"
"spoon","ske","pollepel","lusikka","cuiller, cuillère","Löffel","sendok","cucchiaio","saji, hi, supu-n","cochleare","skje","colher","cuchara","kijiko, mwiko","sked"
"spring","springe, fjeder, forår, kilde","opborrelen, opwellen, ontspringen","kevät, kaivo, hypätä","ressort, émaner, entrain, printemps, source","Feder, Feder, herstammen, Frühling, springen","melompat, mata-air, lompat","piuma, sorgente, abbrivo, saltare, slancio, fonte","shunkashuutou, hazumi, supuringu, izumi, haru","ver, salire","kilde, vår","nascente, primavera, mola","saltar, resorte, carrera, muelle, venera, brincar","-","språng, brunn, resår, källa, vår"
"square","plads, firkantet, firkant","vierkant","neliö, tori","carré, quadratique, anguleuxse, rond-point","Quadrat","-","quadrangolo, quadrato, quadro, spigoloso, piazza","houkei, shikakui, shikaku, sukuxea, seihoukei","-","plass","adro, praça, quadrado","escuadra, glorieta, plaza, cuadro, cuadrado","mahali","torg, fyrkant, ruta, tvär, kvadrat"
"stand","stå, barak, stå op","huisje, schuur, keet, kraam, loods","seisoa","kiosque, stations debout, échoppe, stand","andauern, stehen, stehen","bangkit","stare, granaio, continuare","kadai, tachi, dai, baiten, roten, sutando","stare","stå","celeiro, carrinho","posición, granero, levantarse, puesto","-","tåla, bestå, stativ, uthärda, ställ, stå"
"star","stjerne","ster","tähti","étoile, etoile, sidéral, étourneau","Stern","-","stella, vedette","kyohaku, suta-, shuensha, etowa-ru, tarento, hoshi","sidus, stella, astrum","stjerne, stjerne","estrela","estrella","-","stjärna"
"statue","-","beeld, standbeeld","patsas","statue","Standbild","arca","statua","zou, sutachu-, guuzou, choukokubutsu, jinbutsuzou","statua","statue","estátua","estatua","-","staty"
"steal","stjæle","sluipen","varastaa","volons, dérober, volent, volez","stehlen","curi, mencuri","sotrarre, rubare","tsu, tou, suchi-ru","clepsere, clepere","stjele","roube","hurtar, robar, sonsacar","-","stjäla"
"steel","stål","staal","teräs","acier","Stahl","-","acciao, acciaio","hagane, koutetsu, suchi-ru","adamas, chalybs","stål, stål","aço","acero","-","stål"
"stomach","mave","maag","-","estomac, stomacale","Magen","perut","ventricolo","ibukuro, kafuku, sutomakku, i, hara, shitappara","stomachus, venter, alvus","mave","estômago","estomago, estómago, estómago","tumbo","mage"
"stone","sten","klei-, aarden, van klei","kivi","pierre","Stein, steinigst, Stein","batu","sasso, pierra","ishi","-","stein, stein","pedra","piedra, empinado","jiwe","sten, kärna"
"store","butik","winkel","myymälä","entreposez, stocker, boutique, entreposer, reposée","aufbewahren, speichern, Vorrat, Warenhaus","toko","immagazzinare, campeggio, immagazzinare","chikuseki, taten, tenpo, sutoa, sutoa-, shishi, ho","-","butikk, forretning","loja","almacenar, reten, silo, tienda","duka","varuhus, lagra, förråd"
"story","etage, historie, fortælling","etage, verdieping","kerros, historia","fabliau, étage","Geschichte, Schwank, Erzählung, Geschichte","sejarah, cerita","farsa, rapporto, fiaba, racconto, storia","iwaku, shousetsu, hanashi, suto-ri, suto-ri-","-","etasje","história, andar","conseja, historia, cuento","-","historia, berättelse, sägen"
"strange","fremmed","buitenlands, vreemd, onwennig","vieras","étrange","fremd, seltsam, sonderbar, fremde, fremd, seltsam","asing","strano, caratteristico, straniero, estroso","henteko, etainoshirenai, okashii, mishiranu, chin","advena","fremmed","estranho","raro, ajeno, extraño","a kigeni","främmande, underlig, konstig, märkvärdig, egen"
"stream","strøm, bæk","loop, stroom, stroming","joki","courant, ruisseau","Bach {m}, Strom, Strom, strömen","-","corrente, ruscello","kasui, nagare, ryuusui, kawa, sou, ookawa, ogawa","-","å","córrego, corrente, ribeiro, riacho","arroyo, corriente","kijito","rinna, forsa, ström, fors"
"string","snor, reb","koorde, stemband, snaar","jänne, köysi","corde, cordon, défiler, ficelle","Zeichenfolge, aufreihen, bespannen (mit Saiten)","tampar, tali","spago, cordicella","suji, himo, ito, sutoringu","ceruchus, chorda","reip, tau","corda","cordon, cordón, cuerda","uzi","sträng, snodd"
"stroll","spadseretur","wandeling, wandelen, tippel","olla kävelyllä","promenade, vadrouiller","schlendern, bummeln, bummeln","-","passeggiare","sanpo","ambulare","spasere, spasertur","dê uma volta","gandulear","-","ströva, promenera"
"strong","stærk","krachtig, geducht, sterk, fiks, straf","voimakas","salement, fort","kampfstark","kuat","poderoso, benportante","ganjou, genjuu, kyousou, kyoukou, kyouryoku, kei","valens","sterk","forte","fuerte, poderioso","imara, enye nguvu","stark"
"sugar","sukker","suiker","sokeri","sucre","Zucker","gula","zucchero","shuga-, satou, tou","-","sukker","açúcar","azucar, azúcar","sukari","socker"
"sum","beløb, sum","somma, som, bedrag, totaal, summa","summa","somme","Summe, Summe, addieren","jumlah","-","samu, kindaka, wa, zengaku","summa","beløp","soma","importe, suma","-","tal, summa"
"summer","sommer","zomer","kesä","été, estival","Sommer","-","estate, estivo","kyuuka, shunkashuutou, sama-, natsu","æstas","sommer","verão","verano, estkval","-","sommar"
"sun","sol","zonneschijn","aurinko","soleil","Son, Sonne","matahari","sole","hi, hi","stella, sol","sol","sol","sol","jua","sol"
"Sunday","søndag","zondag","sunnuntai","dimanche","Sonntag","Ahad, Minggu","doménica, domenica","dontaku","-","søndag","Domingo","domingo","Jumapili","söndag"
"sweet","sød","zoet, oppassend","makea","doux","süß, herzig, süß","manis","caramella, dolce, dessert, abboccato","amai, koubashii, karen, kawairashii, kanbashii","suavis, dulcis","søt","doce","dulce, caramglo","tamu","efterrätt, ljuv, söt, karamell"
"swift","hurtig","haastig, snel, gezwind, gauw, spoedig","nopea","rapide","schnell","lekas, jepat","-","hayai, hakabakashii, jinsoku","-","hurtig","rápido","rápido, veloz","epesi","kvick, rask, snabb"
"swim","svømme","zwemmen, drijven","uida","nager, baignade, nagent, nageons, nagez","schwimmen","berenang","nuotare, fanno il bagno","-","natare","svømme","nadar, nadada","ba ar, nadar","-","simma"
"table","bord","tabel, tafel, lijst","taulukko, pöytä","tableau, table","Tabelle, Tabelle/Tisch, Tisch, Tabelle","-","elenco, tàvola, tavola, tabella, tavolo","teiburu, ki, hayami, ichiranhyou, takushi, taku","-","bord","tabela, mesa","meseta, catalogo, mesa","meza","tavla, tabell, bord"
"tail","hale","schaduwen","häntä","-","Ende, Rest, Ende, Schwanz","-","coda","bibu, shippo, te-ru, o, bikou, teiru, biyoku","penis, cauda","hale","cauda","rabo","mkia","stjärt, skört, svans"
"take","modtage, tage op, tage","accepteren, aannemen, aanvaarden","ottaa, ottaa vastaan, varata","admettre, recevoir, prends, prenez, agréer","nehmen, nehmen, einnehmen","terima, menerima","acchiappare, intervenire energicamente, accettare","teiku","capere, accipere","besette, godta","aceitar, tomada, ocupar","tardar, agarrar, aceptar, tomar, perdurar, ocupar","pokea","taga, vidtaga, intaga"
"take in","modtage","-","ottaa vastaan","agréer, admettre, recevoir, accepter, accueillir","hereinlegen","menerima, terima","accogliere, accettare","hannyuu","accipere","godta","aceitar","aceptar, tomar","pokea","hysa"
"tall","høj","verheven, hoog","korkea","haut, mailloche","groß","tinggi","grande, elevato","takai, takenaga","altus, arduus","høy","alto","gran, alto, elevada","-","storväxt, hög, högväxt, reslig"
"taste","smag, smage","smaken","maku","déguster, goûtez, goût, gustation, goûtent, goûter","kosten","-","costare, gustare","konomi, ganmi, koushou, fuuryuu, fuzei, te-suto","gustus","smak","gosto","gusto, coste, saborear","-","smak, avsmaka, smaka"
"tax","skat","belasten, aanslaan","-","impot, impôt, prestation","Abgabe {f}, Steuer {f}, Gebühr {f}, besteuern","pajak","tassa, daziare, erariale","takkusu, zeikin","vectigal","skatt","imposto","acensuar, impuesto","-","skatt, beskatta"
"tea","te","thee","tee","thé","Tee","teh","tè","ti, ti-, cha","-","te","chá","te, té, té","chai","te"
"tear","tåre, rive itu","vaneenscheuren, doorscheuren","repiä, kyynel","déchirer, fissure, larme, pleur","zerren, Träne, Träne, ziehen, zerreißen","air-mata","crepatura, lacrima","yabureme, heki, sakeme, namida","lacrima","-","lágrima, rasgo","rajar, raja, lágrima","-","slita, reva, tår"
"ten","ti","tien","kymmenen","dix","zehn","sepuluh","dieci","ten, juu, juu, to, too","decem","ti","dez","diez","kumi","tio"
"tender","sød","gunning, aanbesteding","makea","doux, adjudication, affectieux","Angebot, zart, anbieten","manis","dolce","yawaraka, yowai, yawarakai, yarikoi, yasashii","dulcis, suavis","søt","encarregado","subasta, carinoso, dulce, destajo","tamu","öm, späd, kärleksfull, mör"
"test","forsøge, prøve, undersøgelse","examen, keuring, onderzoek","koettaa","essayer, test, examen, tester","Test, prüfen, Test","coba ... mencoba","prova, esamino, provare, prova","kousa, shiren, tesuto, shiken, ukeru","-","prøve","provar, esforço, teste, exame","carnet, examen, intentar, test, carné","-","prov, pröva"
"there","derhen, did","ginds, aldaar, daar, er, daarginds","siellä, sinne","là, làbas, y, là","dort, dorthin, dort, da","-","là, costì, quite, morto","asoko, kanata, achira, soko","ibi","der","acolá, lá, aí, ali","allá, allí, alli, aculla, ahí","mle, kule, pale","dit, där"
"therefore","altså","ergo, toch, ook weer, dus","siis, siksi","donc, voilà pourquoi, par conséquent","deshalb, deshalb, darum, hierfür, deswegen","-","quindi, per questo, conseguentemente","yotte, yueni, soreyue, dakara, shitagatte","-","derfor","conseqüentemente","consiguientepor, de allí, por eso","kwa hiyo","därför"
"they","de","hen, ze, zij, hun","he, ne","on, elles, ils","sie [pl], man sie, sie","-","essi","senpou, karera","-","de","eles","ellas, ellos","wao","man, de här"
"thick","tyk, tæt","dik, gebonden, dicht","tiheä, paksu","dense, épais, gros, dru","dicht, dick, dick","-","grosso, impermabile","chuumitsu, ussoutaru, koi, moumoutaru, fukai","-","tykk","gordo, densamente","grueso, denso, espeso","nono, nene","tjock"
